id,name,affiliation_as_published,roles,paper_count,paper_numbers,same_name_record_count,identity_review_required,source_urls,verification_levels,hilo_member,outreach_authorized,attendance_verified
person-e5545e79fd50aa6ff52f,"Anand, Akash",Massachusetts Institute of Technology,paper_author,1,4328,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-a4e4ff9e79c698fa8fad,"Kumbar, Akash","International Institute of Information Technology, Hyderabad",paper_author,1,2761,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b3a0f525056a91b8c71f,"Sharma, Akash",Carnegie Mellon University,paper_author,1,937,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b33569390bd5bc9ea986,"Ajikumar, Akhil",Georgia Institute of Technology,paper_author,1,3410,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-727cd832199d562d74d9,"Manjitha, Akhitha",New Jersey Institute of Technology,paper_author,1,286,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-834854c37e77f14446c1,"Kobayashi, Akihiro",Chuo university,paper_author,1,4897,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-c24947b3b553ff87ca7e,"Miki, Akihiro",the University of Tokyo,paper_author,1,2999,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-5d248eba67536392958c,"Gopalkrishnan, Akshay",University of California San Diego,paper_author,1,978,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-044cf18ea363b3802b47,"Saradagi, Akshit","Luleå University of Technology, Luleå, Sweden",paper_author,1,2387,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-7d881654710ce92df8e7,"Dickson, Akua",Boston University,paper_author,1,2393,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-edef5486e6802fadf2b1,"Mahmud, Al Jaber",George Mason University,paper_author,1,3597,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-40a0c7a8500705f24714,"Fang, Alan",Georgia Institute of Technology,paper_author,1,1480,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-7267ddae801c499e6564,"Kuntz, Alan",Vanderbilt University,paper_author,2,2622 | 3776,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-014b0156e6aba3232feb,"Li, Alan",University of Toronto,paper_author,1,247,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-eb2df7c5fc0fb9eceefc,"Liang, Alan","Shenyang institute of automation, Chinese Academy of Sciences",paper_author,1,3700,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-27ed6b2ae738c63dd2d6,"Lynch, Alan",University of Alberta,paper_author,1,3834,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b0bb1723969b6a56ef0a,"Yu, Alan",Massachusetts Institute of Technology,paper_author,1,3000,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-ff8857125deafc26d825,"Zoubi, Alan",Cornell Unviersity,paper_author,1,938,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-2eb6a31e7ecbbbd261e3,"Gupta, Alankrit",Georgia Institute of Technology,paper_author,1,3286,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-a95844c3df93e24437f3,"Kshirsagar, Alap",Technische Universität Darmstadt,paper_author,1,2164,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b7196bbb02578606f079,"Candela, Alberto","NASA Jet Propulsion Laboratory, California Institute of Technology",paper_author,1,3437,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-8823a2ede3adb6a1f67b,"Pretto, Alberto",University of Padova,paper_author,1,2427,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-5c521a2c0c8b947480ef,"Quattrini Li, Alberto",Dartmouth College,paper_author,3,144 | 2663 | 3734,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-35173881aeb32467e2aa,"Ranavolo, Alberto",INAIL,paper_author,1,3048,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-38c50489ffba7f9c5a11,"Rodriguez-Sanz, Alberto",University Carlos III of Madrid,paper_author,1,3175,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-afeb26ed2c65e6515730,"Vaglio, Alberto",University of Siena,paper_author,1,2474,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-16dba8946463d3363b29,"Cohen, Alejandro",Technion--Israel Institute of Technology,paper_author,1,1840,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b22b6c9a34a0126a3326,"Fontan, Alejandro",Queensland University of Technology,paper_author,1,350,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-6161654305b57e790da3,"Granados, Alejandro",King's College London,paper_author,2,140 | 1445,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-240737077b00e8e3bb92,"Magaña, Alejandro",ZEISS,paper_author,1,2264,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-c10e1fe1294d55be12c7,"Murillo-González, Alejandro",Indiana University Bloomington,paper_author,1,3,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-e155b78ff5a67677d982,"Suarez, Alejandro",University of Seville,paper_author,1,4963,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-9eeda7d5a5f27490651e,"Alempijevic, Alen",University of Technology Sydney,paper_author,3,2029 | 4257 | 5014,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
